31,Nguyễn Hồng Phương,Hệ thống Thông tin,"Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2009), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2006)","Khai phá dữ liệu, Tích hợp dữ liệu, Cơ sở dữ liệu","Các hệ cơ sở dữ liệu, Xử lý truy vấn, Xử lý XML, Các ứng dụng",0,2
32,Nguyễn Hữu Đức,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Viện Tiên tiến về Khoa học và Công nghệ Nhật Bản - 2006), Thạc sỹ (Khoa học Máy tính - Viện Quốc tế Pháp ngữ - 1998), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1996)","Tính toán song song và phân tán, Lưu trữ và phân tích dữ liệu lớn, Xây dựng chương trình dịch","Các mô hình chợ đám mây, Các mô hình phần mềm trên hệ thống đám mây, Hạ tầng và nền tảng siêu máy tính, Hệ thống lưu trữ cho dữ liệu y tế, dữ liệu given, Tính toán song song trên các cụm tính toán và trên GPU, Biến đổi chương trình, Tối ưu mã (chương trình dịch), Các kỹ thuật biên dịch sử dụng thông tin kiểu",10,0
33,Nguyễn Khanh Văn,Công nghệ Phần mềm,"Tiến sỹ (Khoa học Máy tính - trường Đại học California-Davis, Mỹ - 2006), Thạc sỹ (Khoa học Máy tính - trường đại học Wollongong - Úc - 2000), Kỹ sư (Tin học - trường Đại học Bách khoa Hà Nội - 1992)","Mô hình-thuật toán mạng và tính toán phân tán: mạng thế-giới-nhỏ; đồ thị và thuật toán mạng (tập trung về định tuyến); mô hình cho mạng qui mô lớn (đồ thị ngẫu nhiên), Mạng máy tính: mạng cảm biến không dây; mạng liên kết; mạng đồng đẳng, An toàn thông tin: an toàn web, tấn công DoS, mật mã ứng dụng","Mô hình-thuật toán mạng và tính toán phân tán: mạng thế-giới-nhỏ; đồ thị và thuật toán mạng (tập trung về định tuyến); mô hình cho mạng qui mô lớn (đồ thị ngẫu nhiên), Mạng máy tính: mạng cảm biến không dây; mạng liên kết; mạng đồng đẳng, An toàn thông tin: an toàn web, tấn công DoS, mật mã ứng dụng",9,5
34,Nguyễn Khánh Phương,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Tổng hợp Montreal - Canada - 2014), Thạc sỹ (Trường Đại học Bách khoa Torino - Ý - 2005), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2004)","Các giải thuật và tối ưu hóa, Tính toán hiệu năng cao, Khoa học dữ liệu","Tính toán song song và phân tán, Tối ưu hóa tổ hợp, Các thuật toán tìm kiếm, Trí tuệ nhân tạo",6,0
35,Nguyễn Kiêm Hiếu,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Đại học Ulsan - 2013), Kỹ sữ (Trường Đại học Bách khoa Hà Nội - 2007)","Xử lý ngôn ngữ tự nhiên, Trích rút thông tin","Phân tích ngữ nghĩa, Trích rút sự kiện, Hệ hỏi – đáp, Xử lý ngôn ngữ tiếng Việt",10,0
36,Nguyễn Mạnh Tuấn,Công nghệ Phần mềm,"Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2016), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2007)","Web và dịch vụ web, An toàn và bảo mật thông tin, Trí tuệ kinh doanh, Đánh giá an toàn cho các hệ thống thông tin theo cấp độ","Công nghệ web và dịch vụ web, An toàn trong các ứng dụng web, Kinh doanh thông minh để khai thác dữ liệu và ảnh hưởng đến việc ra quyết định, Đánh giá an toàn cho các hệ thống thông tin theo cấp độ",1,0
37,Nguyễn Nhất Hải,Công nghệ Phần mềm,"Tiến sỹ (Công nghệ thông tin - tự động và xử lý tín hiệu - trường Đại học Bách khoa Grenoble - 2011), Thạc sỹ (Tin học - Toán ứng dụng - Đại học Joseph Fourier - Pháp - 2007), Kỹ sư (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2005)","Xử lý ngôn ngữ tự nhiên, Thị giác máy tính, Hệ thống phân tán (Blockchain), Mạng cảm biến không dây và mạng internet vạn vật","Xác định thực thể và mối liên hệ, Nhận diện hình ảnh, Hệ thống blockchain và ứng dụng",0,0
38,Nguyễn Nhật Quang,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - trường Đại học Trento - Ý - 2006), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2000), Kỹ sư (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 1997","Ứng dụng trí tuệ nhân tạo, Học máy, Các hệ thống gợi ý, Thị giác máy tính","Ứng dụng trí tuệ nhân tạo, Học máy và Học sâu, Thị giác máy tính, Các hệ thống gợi ý, Cá nhân hóa, Các dịch vụ di động thông minh, Dữ liệu lớn, Các công nghệ mã nguồn mở, Kiến trúc phần mềm",3,0
39,Nguyễn Phi Lê,Khoa học Máy tính,"Tiến sỹ (Công nghệ thông tin - Viện Tin học Quốc gia Nhật Bản - 2019), Thạc sỹ (Công nghệ thông tin - Đại học Tokyo - 2010), Kỹ sư (Công nghệ Thông tin - Đại học Tokyo - 2007)","Mạng cảm biến không dây và mạng internet vạn vật, Mạng MEC, Tối ưu hoá giao thức mạng, Tối ưu hoá việc triển khai mạng, Quản lý tài nguyên mạng, Học tăng cường","Tối ưu hoá giao thức định tuyến trong mạng cảm biến không dây, Tối ưu hoá triển khai mạng cảm biến không dây nhằm đảm bảo tính bao phủ và kết nối, Task offloading trong mạng MEC, Tối ưu hoá thời gian sống của mạng cảm biến không dây, Tối ưu hoá lập lịch trong mạng cảm biến không dây tự động sạc, Ứng dụng học máy trong tối ưu hoá và quản lý tài nguyên mạng",10,5
40,Nguyễn Thanh Hùng,Khoa học Máy tính,"Tiến sỹ (Khoa học máy tính - trường Đại học Bách khoa Quốc gia Grenoble - Pháp - 2010), Thạc sỹ (Khoa học máy tính - trường Đại học Bách khoa Quốc gia Grenoble - Pháp - 2006), Kỹ sư (trường Đại học Bách khoa Hà Nội - 2005)","Mô hình hoá, xây dựng, kiểm thử phần mềm, EduTech","Mô hình hoá, xây dựng, kiểm thử phần mềm, EduTech",0,1
